step,avg_violations,min_violations,homogeneity,network,seed
1,63.24842105263158,45,0.5220631578947369,Congress Twitter,42
2,63.22736842105263,45,0.5220210526315789,Congress Twitter,42
3,63.113684210526316,45,0.5221052631578947,Congress Twitter,42
4,62.93052631578947,45,0.5226947368421052,Congress Twitter,42
5,62.701052631578946,45,0.5237894736842107,Congress Twitter,42
6,62.36842105263158,44,0.5249263157894738,Congress Twitter,42
7,62.054736842105264,43,0.5266526315789474,Congress Twitter,42
8,61.63157894736842,43,0.528463157894737,Congress Twitter,42
9,61.02736842105263,41,0.5317052631578946,Congress Twitter,42
10,60.642105263157895,39,0.5350315789473684,Congress Twitter,42
11,60.19157894736842,39,0.5365052631578948,Congress Twitter,42
12,59.81263157894737,39,0.5382315789473684,Congress Twitter,42
13,59.42526315789474,39,0.5402947368421053,Congress Twitter,42
14,58.97684210526316,39,0.5421052631578946,Congress Twitter,42
15,58.44,39,0.544,Congress Twitter,42
16,58.13263157894737,37,0.5457684210526317,Congress Twitter,42
17,57.753684210526316,35,0.5478736842105264,Congress Twitter,42
18,57.39157894736842,34,0.5502315789473683,Congress Twitter,42
19,56.909473684210525,34,0.5535578947368421,Congress Twitter,42
20,56.463157894736845,34,0.5561684210526316,Congress Twitter,42
21,56.03157894736842,34,0.5592000000000003,Congress Twitter,42
22,55.69263157894737,36,0.5608000000000001,Congress Twitter,42
23,55.21473684210526,32,0.5634947368421053,Congress Twitter,42
24,54.86105263157895,32,0.5655578947368423,Congress Twitter,42
25,54.572631578947366,32,0.568084210526316,Congress Twitter,42
26,54.23157894736842,32,0.5705263157894737,Congress Twitter,42
27,53.898947368421055,29,0.5721263157894738,Congress Twitter,42
28,53.51157894736842,29,0.574442105263158,Congress Twitter,42
29,53.193684210526314,29,0.5769263157894735,Congress Twitter,42
30,52.63368421052632,30,0.580042105263158,Congress Twitter,42
31,52.31578947368421,30,0.5830315789473685,Congress Twitter,42
32,51.997894736842106,30,0.5848000000000001,Congress Twitter,42
33,51.74315789473684,30,0.5866526315789474,Congress Twitter,42
34,51.370526315789476,30,0.5887157894736845,Congress Twitter,42
35,51.037894736842105,30,0.5909894736842105,Congress Twitter,42
36,50.60842105263158,29,0.5930947368421052,Congress Twitter,42
37,50.27157894736842,29,0.5953263157894736,Congress Twitter,42
38,50.0,29,0.5967999999999999,Congress Twitter,42
39,49.55157894736842,28,0.5997052631578947,Congress Twitter,42
40,49.36421052631579,28,0.6023157894736842,Congress Twitter,42
41,48.99368421052632,27,0.6047157894736841,Congress Twitter,42
42,48.70315789473684,27,0.6058947368421053,Congress Twitter,42
43,48.39578947368421,27,0.6073684210526317,Congress Twitter,42
44,48.09684210526316,27,0.6091789473684209,Congress Twitter,42
45,47.83578947368421,27,0.6109894736842105,Congress Twitter,42
46,47.54526315789474,27,0.6128421052631577,Congress Twitter,42
47,47.334736842105265,25,0.6148210526315788,Congress Twitter,42
48,47.06947368421053,25,0.6168421052631579,Congress Twitter,42
49,46.90736842105263,25,0.6184842105263155,Congress Twitter,42
50,46.95789473684211,26,0.6204631578947368,Congress Twitter,42
51,46.69894736842105,26,0.6218526315789474,Congress Twitter,42
52,46.39368421052632,26,0.624042105263158,Congress Twitter,42
53,46.218947368421055,26,0.6258526315789473,Congress Twitter,42
54,45.97894736842105,26,0.6282947368421051,Congress Twitter,42
55,45.77894736842105,26,0.629978947368421,Congress Twitter,42
56,45.54736842105263,24,0.6317473684210526,Congress Twitter,42
57,45.27368421052632,23,0.6337263157894736,Congress Twitter,42
58,45.05684210526316,23,0.6357473684210525,Congress Twitter,42
59,44.816842105263156,23,0.6374736842105264,Congress Twitter,42
60,44.526315789473685,23,0.6396631578947367,Congress Twitter,42
61,44.32,23,0.6413473684210526,Congress Twitter,42
62,44.13473684210526,23,0.6434105263157893,Congress Twitter,42
63,43.93052631578947,23,0.6453473684210528,Congress Twitter,42
64,43.74315789473684,23,0.6465684210526316,Congress Twitter,42
65,43.486315789473686,23,0.648042105263158,Congress Twitter,42
66,43.22105263157895,23,0.6504421052631579,Congress Twitter,42
67,42.98736842105263,23,0.6522105263157895,Congress Twitter,42
68,42.741052631578945,23,0.6542736842105262,Congress Twitter,42
69,42.48842105263158,23,0.656378947368421,Congress Twitter,42
70,42.473684210526315,23,0.6578947368421051,Congress Twitter,42
71,42.26315789473684,23,0.6602526315789474,Congress Twitter,42
72,42.08,23,0.6624842105263159,Congress Twitter,42
73,41.88,23,0.6647157894736841,Congress Twitter,42
74,41.694736842105264,23,0.6664421052631581,Congress Twitter,42
75,41.48421052631579,23,0.6681684210526316,Congress Twitter,42
76,41.30105263157895,23,0.670063157894737,Congress Twitter,42
77,41.141052631578944,23,0.6720842105263158,Congress Twitter,42
78,40.98736842105263,23,0.6734736842105262,Congress Twitter,42
79,40.78947368421053,23,0.6759999999999999,Congress Twitter,42
80,40.60631578947368,22,0.6779789473684211,Congress Twitter,42
81,40.461052631578944,22,0.6793263157894736,Congress Twitter,42
82,40.29263157894737,22,0.681221052631579,Congress Twitter,42
83,40.08631578947369,22,0.6835368421052632,Congress Twitter,42
84,39.90105263157895,22,0.6852210526315788,Congress Twitter,42
85,39.730526315789476,22,0.6871157894736843,Congress Twitter,42
86,39.58526315789474,22,0.6883789473684212,Congress Twitter,42
87,39.44631578947369,22,0.6901894736842104,Congress Twitter,42
88,39.26105263157895,22,0.6922526315789476,Congress Twitter,42
89,39.09263157894737,22,0.6941894736842105,Congress Twitter,42
90,39.24,22,0.6963368421052633,Congress Twitter,42
91,39.10315789473684,22,0.698021052631579,Congress Twitter,42
92,38.97263157894737,22,0.699536842105263,Congress Twitter,42
93,38.82947368421053,22,0.7009263157894736,Congress Twitter,42
94,38.59789473684211,22,0.7034947368421051,Congress Twitter,42
95,38.42526315789474,22,0.705052631578947,Congress Twitter,42
96,38.305263157894736,22,0.7063157894736841,Congress Twitter,42
97,38.143157894736845,22,0.7085052631578947,Congress Twitter,42
98,38.01684210526316,22,0.7102315789473684,Congress Twitter,42
99,37.90105263157895,22,0.7117473684210525,Congress Twitter,42
100,37.93684210526316,23,0.7129684210526314,Congress Twitter,42
101,37.84,23,0.7145684210526313,Congress Twitter,42
102,37.717894736842105,23,0.7160842105263157,Congress Twitter,42
103,37.60631578947368,23,0.7173052631578944,Congress Twitter,42
104,37.486315789473686,23,0.7185263157894733,Congress Twitter,42
105,37.351578947368424,23,0.7198736842105261,Congress Twitter,42
106,37.23578947368421,23,0.7210105263157893,Congress Twitter,42
