network,indeg,meanV
scale free,3,31.208
scale free,4,29.566
scale free,3,28.646
scale free,1,30.986
scale free,4,30.466
scale free,2,29.7
scale free,2,32.032
scale free,4,29.54
scale free,1,32.792
scale free,1,34.208
scale free,3,30.29
scale free,1,30.266
scale free,2,29.96
scale free,3,30.414
scale free,0,28.114
scale free,1,32.34
scale free,3,28.742
scale free,2,31.114
scale free,3,27.884
scale free,3,30.844
scale free,1,29.906
scale free,0,33.718
scale free,2,31.782
scale free,3,30.096
scale free,1,32.602
scale free,3,26.718
scale free,2,30.59
scale free,0,30.032
scale free,20,25.318
scale free,13,27.416
scale free,10,27.712
scale free,20,26.698
scale free,4,31.512
scale free,4,30.742
scale free,4,32.454
scale free,8,27.622
scale free,19,25.758
scale free,11,25.578
scale free,9,27.32
scale free,0,35.116
scale free,12,27.024
scale free,11,26.17
scale free,3,30.798
scale free,2,31.282
scale free,13,27.386
scale free,8,26.32
scale free,2,31.108
scale free,7,27.77
scale free,2,31.052
scale free,2,31.28
scale free,1,31.826
scale free,6,28.712
scale free,5,28.186
scale free,5,28.614
scale free,5,26.072
scale free,1,30.638
scale free,4,30.218
scale free,3,30.55
scale free,3,28.314
scale free,1,32.13
scale free,2,31.42
scale free,3,32.034
scale free,3,31.148
scale free,3,30.254
scale free,3,30.862
scale free,2,30.492
scale free,1,32.092
scale free,4,26.936
scale free,3,29.194
scale free,2,30.814
scale free,0,34.106
scale free,5,28.698
scale free,2,30.268
scale free,9,28.66
scale free,0,30.196
scale free,1,34.75
scale free,5,30.91
scale free,1,31.446
scale free,1,34.644
scale free,4,28.332
scale free,2,29.956
scale free,8,26.978
scale free,3,32.674
scale free,6,26.376
scale free,2,29.028
scale free,2,29.446
scale free,5,27.174
scale free,1,32.964
scale free,0,32.596
scale free,1,32.998
scale free,2,29.49
scale free,1,32.402
scale free,2,32.68
scale free,2,27.292
scale free,3,27.402
scale free,3,29.538
scale free,2,33.752
scale free,2,31.168
scale free,2,28.428
scale free,0,34.192
scale free,1,33.784
scale free,1,32.722
scale free,2,28.714
scale free,1,28.92
scale free,1,28.302
scale free,0,33.194
scale free,1,29.354
scale free,2,30.194
scale free,1,34.194
scale free,3,28.968
scale free,3,29.25
scale free,2,30.148
scale free,1,30.372
scale free,2,32.972
scale free,1,31.214
scale free,1,33.116
scale free,3,29.432
scale free,4,29.082
scale free,2,30.374
scale free,3,31.614
scale free,1,31.384
scale free,2,29.026
scale free,1,30.456
scale free,1,29.87
scale free,1,30.916
scale free,1,33.286
scale free,1,30.194
scale free,3,28.874
random,2,27.41
random,9,28.452
random,2,30.552
random,9,28.648
random,9,25.94
random,5,28.44
random,6,30.13
random,6,29.024
random,3,29.396
random,4,28.848
random,4,30.438
random,2,27.714
random,4,28.584
random,4,27.524
random,7,29.974
random,5,30.162
random,2,30.166
random,6,29.078
random,3,28.914
random,2,27.838
random,5,28.004
random,3,32.326
random,11,28.854
random,8,27.974
random,2,31.042
random,3,29.256
random,8,31.788
random,7,29.638
random,6,26.514
random,6,29.266
random,6,31.47
random,3,31.46
random,6,29.608
random,4,32.266
random,4,31.198
random,5,27.47
random,3,29.538
random,1,29.682
random,1,33.98
random,4,31.536
random,3,30.52
random,3,31.744
random,8,28.946
random,7,26.606
random,4,27.748
random,8,27.432
random,7,26.282
random,2,28.678
random,2,30.696
random,8,28.224
random,5,28.384
random,8,28.776
random,3,29.046
random,4,27.664
random,3,29.336
random,1,32.234
random,6,26.862
random,3,30.984
random,6,30.328
random,7,27.544
random,5,28.104
random,6,31.922
random,5,29.596
random,6,27.418
random,1,34.864
random,9,26.612
random,6,28.938
random,9,28.8
random,2,30.352
random,4,28.838
random,2,28.496
random,2,29.032
random,5,28.728
random,6,30.53
random,5,32.826
random,7,28.534
random,10,27.914
random,3,29.75
random,4,30.81
random,11,29.674
random,8,28.084
random,5,30.174
random,4,28.048
random,5,29.198
random,5,29.076
random,4,28.28
random,5,29.912
random,4,28.12
random,6,27.082
random,7,29.744
random,7,30.234
random,4,33.968
random,2,28.388
random,5,28.788
random,5,33.646
random,2,33.432
random,6,30.43
random,6,29.33
random,6,29.88
random,6,29.8
random,5,28.872
random,5,28.598
random,2,31.6
random,3,28.754
random,5,31.214
random,5,28.706
random,5,28.134
random,3,31.036
random,4,29.692
random,5,26.92
random,5,30.536
random,4,26.976
random,1,33.006
random,7,26.874
random,4,29.504
random,3,30.204
random,2,31.652
random,14,24.46
random,4,30.304
random,3,27.906
random,5,26.29
random,3,28.196
random,7,31.324
random,3,29.838
random,5,27.19
random,2,30.438
random,9,27.066
random,6,29.498
random,2,30.492
random,2,32.574
random,4,27.024
random,7,27.752
random,3,29.456
random,6,28.3
random,5,26.788
random,3,29.548
random,3,28.074
random,5,30.86
random,4,31.576
random,5,28.152
random,4,28.962
random,6,28.146
random,6,26.148
random,6,26.972
random,0,30.77
random,3,30.036
random,4,27.254
random,4,30.996
random,5,28.192
random,3,32.438
random,6,28.432
random,2,31.516
random,6,29.488
random,3,27.256
random,3,28.392
random,4,29.2
random,5,28.214
random,5,28.176
random,12,25.23
random,2,31.574
random,4,30.166
random,4,28.904
random,5,29.48
random,5,27.534
random,5,27.524
random,10,26.336
random,5,32.956
random,4,27.602
random,3,30.56
random,3,32.614
random,5,29.34
random,5,28.9
random,4,30.32
random,6,29.302
random,3,34.324
random,3,31.736
random,3,30.614
random,1,31.936
random,4,29.204
random,2,28.99
random,6,27.906
random,9,27.124
random,11,26.64
random,5,28.848
random,5,28.46
random,4,28.708
random,7,25.764
random,8,27.26
random,3,28.94
random,7,27.208
random,5,27.56
random,4,27.954
random,9,27.452
random,3,28.91
random,6,29.428
random,7,25.786
random,3,31.164
random,4,30.256
random,7,28.394
random,4,30.724
random,7,28.95
random,4,29.888
random,4,27.124
random,5,28.83
random,6,27.52
random,5,30.282
random,5,28.89
random,4,29.592
random,4,26.37
random,3,31.742
random,8,26.238
random,5,27.168
random,9,27.83
random,4,29.22
random,4,27.874
random,3,29.394
random,4,28.852
random,4,30.012
random,2,28.284
random,5,31.716
random,3,30.592
random,4,28.29
random,3,30.88
random,8,28.206
random,2,33.102
random,3,28.65
random,5,29.136
random,5,28.438
random,5,28.82
random,6,26.896
random,5,28.572
random,7,27.776
random,6,26.706
random,6,26.892
random,5,25.65
random,6,26.04
random,4,27.088
random,7,25.624
random,12,27.744
random,10,29.002
random,6,25.674
random,7,25.35
random,5,28.824
random,1,29.804
random,4,28.924
random,6,26.874
random,2,28.618
random,7,27.21
random,6,28.232
random,6,27.522
random,3,30.782
random,3,29.18
random,5,29.292
random,6,27.714
random,6,26.732
random,6,29.164
random,5,28.252
random,11,27.41
random,4,29.592
random,7,26.572
random,5,28.084
random,5,28.278
random,5,28.362
random,2,27.602
random,6,27.008
random,5,28.968
random,3,31.72
random,6,27.656
random,2,29.672
random,4,29.738
random,2,31.056
random,7,26.562
random,7,27.072
random,6,26.426
random,4,29.286
random,2,29.126
random,7,27.908
random,7,26.768
random,4,29.864
random,2,28.512
random,4,31.246
random,9,24.772
random,4,31.122
random,5,29.682
random,6,30.834
random,4,28.802
random,2,30.228
random,6,28.59
random,6,26.816
random,3,34.192
random,4,30.27
random,7,28.414
random,9,25.88
random,6,25.35
random,9,28.302
random,2,29.12
random,5,28.198
random,7,27.85
random,1,33.256
random,2,30.794
random,5,28.652
random,4,26.582
random,5,31.17
random,3,32.092
random,10,29.98
random,9,27.63
random,4,31.592
random,5,29.364
random,5,29.422
random,3,30.866
random,4,30.144
random,4,31.126
random,7,30.554
random,3,31.31
random,6,30.662
random,3,31.44
random,3,28.294
random,4,31.784
random,4,31.57
random,5,31.09
random,7,28.508
random,10,29.238
random,6,28.794
random,6,32.382
random,4,30.372
random,2,30.952
random,2,30.596
random,7,30.624
random,2,29.954
random,11,27.666
random,6,31.164
random,6,28.66
random,7,27.788
random,7,28.638
random,7,31.26
random,4,31.198
random,6,29.514
random,3,29.924
random,2,29.986
random,8,27.43
random,4,29.49
random,6,26.846
random,8,27.352
random,2,33.036
random,3,29.518
random,1,31.178
random,5,28.426
random,2,29.602
random,3,30.834
random,5,29.33
random,2,30.832
random,3,30.428
random,7,30.282
random,2,29.822
random,3,30.964
random,7,27.958
random,9,29.378
random,5,30.482
random,6,28.078
random,4,31.926
random,5,29.35
random,6,28.584
random,2,34.534
random,2,29.536
random,10,27.962
random,4,29.558
random,5,30.49
random,5,29.506
random,6,30.886
random,6,30.102
random,2,30.292
random,7,30.458
random,5,30.044
random,6,30.694
random,2,33.842
random,7,27.912
random,5,30.772
random,0,35.05
random,4,31.266
random,5,30.006
random,7,30.238
random,4,30.422
random,7,30.756
random,4,29.826
random,3,31.008
random,5,29.688
random,2,33.48
random,4,29.412
random,5,28.768
random,4,31.826
random,6,29.992
random,2,34.2
random,5,27.622
random,4,29.922
random,3,32.614
random,7,28.528
random,2,33.104
random,5,31.482
random,4,30.852
random,4,31.01
random,4,28.384
random,4,30.4
random,2,29.334
random,5,25.22
random,4,26.694
random,1,34.22
random,5,26.368
random,3,28.662
random,1,28.902
random,3,28.88
random,9,30.958
random,7,26.54
random,6,25.342
random,4,28.576
random,1,27.828
random,4,28.57
random,1,29.844
random,4,26.87
random,7,27.022
random,5,30.848
random,8,25.816
random,5,28.696
random,5,29.346
random,6,27.564
random,5,28.29
random,3,27.0
random,9,26.266
random,7,25.564
random,1,30.322
random,5,26.798
random,7,26.682
random,6,29.214
random,5,28.692
random,6,25.3
random,4,29.59
random,8,27.162
random,3,28.684
random,5,28.746
random,4,29.082
random,2,29.516
random,5,26.278
random,5,29.342
random,1,31.914
random,3,29.532
random,4,26.396
random,3,28.494
random,4,30.51
random,8,28.088
random,7,31.044
random,5,29.324
random,6,29.934
random,2,30.502
random,7,26.588
random,3,30.776
random,3,29.416
random,2,30.432
random,2,28.466
random,7,29.806
random,3,29.242
random,3,26.898
random,6,26.286
random,6,26.632
random,3,30.786
random,6,25.806
random,3,33.232
random,3,28.902
random,3,29.014
random,2,30.66
random,4,29.368
random,6,27.534
random,1,31.378
random,5,27.304
random,7,24.984
random,3,30.718
random,3,28.81
random,6,28.296
random,8,27.162
random,4,26.358
random,4,26.942
random,6,26.794
random,2,31.55
random,6,26.704
random,3,33.444
random,4,27.51
random,6,29.396
random,3,29.238
random,3,29.396
random,9,24.316
random,2,30.174
random,6,27.394
random,3,28.536
random,3,30.63
random,8,25.296
random,9,26.904
random,3,28.11
random,6,26.738
random,6,30.356
random,2,30.814
random,8,28.01
random,0,30.81
random,9,26.828
random,9,26.282
random,3,30.628
random,8,27.212
random,4,26.946
random,8,26.748
random,8,28.788
random,4,30.846
random,2,34.358
random,5,27.25
random,6,27.438
random,7,28.156
random,4,27.436
random,13,23.318
random,4,30.044
random,6,28.082
random,5,29.516
random,7,25.084
random,3,29.488
random,4,28.162
random,5,29.308
random,2,29.888
random,2,32.85
random,3,29.204
random,5,27.522
random,3,30.516
random,6,29.392
random,4,30.258
random,6,26.88
random,6,26.702
random,4,29.338
random,1,32.692
random,6,27.46
random,6,25.154
random,11,28.646
random,8,27.604
random,4,29.386
random,9,28.526
random,7,27.538
random,5,30.046
random,4,29.208
random,2,30.898
random,6,29.208
random,5,28.264
random,2,28.934
random,5,28.218
random,5,28.968
random,3,31.324
random,7,26.522
random,2,28.762
random,10,26.03
random,5,27.896
random,7,26.9
random,5,28.934
random,8,29.254
random,3,33.662
random,4,31.986
random,7,27.654
random,5,29.21
random,3,29.19
random,4,27.682
random,3,26.426
random,3,27.026
random,5,29.538
random,3,30.794
random,10,27.426
random,4,30.202
random,5,30.062
random,5,31.948
random,9,26.57
random,5,31.2
random,5,28.97
random,4,28.438
random,4,28.046
random,11,24.372
random,4,30.086
random,8,29.694
random,8,28.12
random,7,27.234
random,10,29.286
random,4,29.672
random,7,26.422
random,5,26.842
random,3,28.442
random,7,28.506
random,11,27.296
random,3,29.386
random,6,29.564
random,6,28.822
random,4,27.602
random,4,30.058
random,8,31.478
random,4,28.528
random,2,30.656
random,4,29.138
random,3,28.924
random,6,26.552
random,4,30.798
random,5,28.88
random,7,25.152
random,8,27.772
random,3,32.576
random,5,29.064
random,1,31.95
random,3,28.374
random,7,27.078
random,7,25.93
random,3,26.878
random,3,29.922
random,7,27.722
random,4,27.04
random,5,28.442
random,4,27.69
random,8,26.028
random,9,27.624
random,5,27.928
random,7,27.252
random,3,28.524
random,4,29.512
random,8,26.768
random,6,26.134
random,5,27.488
random,2,27.372
random,8,28.86
random,5,29.162
random,4,30.724
random,3,26.576
random,6,27.828
random,6,27.242
random,5,27.858
random,3,30.51
random,3,30.41
random,6,27.138
random,6,26.268
random,3,26.69
random,7,27.818
random,4,27.484
random,6,25.134
random,4,28.1
random,3,29.134
random,10,27.154
random,9,25.478
random,6,28.17
random,9,27.194
random,4,29.992
random,3,28.302
random,6,26.872
random,7,25.832
random,2,30.19
random,3,31.786
random,6,27.59
random,4,28.246
random,6,27.72
random,3,29.118
random,5,27.894
random,6,28.034
random,6,27.344
random,6,29.698
random,5,30.19
random,5,30.476
random,3,31.738
random,7,27.454
random,8,27.474
random,4,28.552
random,4,30.632
random,5,25.998
random,5,27.91
random,6,26.782
random,7,27.268
random,1,32.574
random,7,27.282
random,9,25.6
random,4,31.068
random,6,25.696
random,2,28.238
random,5,26.784
random,6,30.994
random,3,27.218
random,5,28.226
random,7,27.622
random,3,31.244
random,4,28.62
random,8,26.062
random,5,27.208
random,2,32.904
random,4,28.432
random,4,32.176
random,7,28.13
random,7,26.61
random,3,28.566
random,5,27.012
random,5,28.904
random,5,28.86
random,4,30.2
random,5,30.042
random,4,29.662
random,3,28.886
random,3,29.33
random,0,34.22
random,1,30.702
random,1,30.836
random,5,29.412
random,2,29.542
random,7,28.228
random,2,31.298
random,4,32.434
random,10,27.106
random,3,27.794
random,6,26.81
random,7,28.184
random,9,25.294
random,7,27.24
random,7,29.338
random,8,27.914
random,7,27.0
random,4,29.496
random,3,32.9
random,4,28.344
random,2,31.318
random,3,31.2
random,9,27.738
random,4,27.856
random,6,27.208
random,6,27.56
random,7,28.78
random,4,28.826
random,3,31.496
random,7,26.856
random,5,28.48
random,8,28.874
random,6,28.57
random,7,28.758
random,3,30.13
random,2,31.014
random,3,26.382
random,4,27.678
random,9,31.252
random,4,25.836
random,3,28.46
random,4,27.854
random,5,30.38
random,8,28.054
random,4,28.352
random,8,27.862
random,5,30.18
random,8,27.672
random,2,32.928
random,4,31.226
random,3,28.246
random,8,29.208
random,5,28.936
random,5,30.25
random,5,28.344
random,4,29.178
random,2,32.366
random,5,26.95
random,4,31.172
random,4,29.45
random,3,30.22
random,2,31.07
random,6,27.718
random,3,29.742
random,9,28.55
random,1,30.442
random,8,28.372
random,5,27.8
random,6,29.562
random,5,28.044
random,8,28.266
random,5,33.13
random,3,28.958
random,8,28.04
random,6,27.386
random,5,28.554
random,6,30.676
random,2,30.298
random,3,29.36
random,5,32.192
random,7,28.094
random,5,28.696
random,6,29.484
random,9,26.582
random,7,29.68
random,3,29.006
random,2,31.242
random,5,28.252
random,2,32.09
random,4,29.052
random,7,27.398
random,3,29.774
random,5,27.248
random,7,28.674
random,5,28.31
random,8,26.704
random,8,28.184
random,5,26.728
random,4,31.092
random,1,30.322
random,6,28.834
random,5,30.638
